journal;if_2023;issn;eissn
American Journal of Orthopsychiatry;2.3;0002-9432;1939-0025
American Psychologist;12.3;0003-066X;1935-990X
Asian American Journal of Psychology;2.4;1948-1985;1948-1993
Behavioral Neuroscience;1.6;0735-7044;1939-0084
Canadian Journal of Behavioural Science;1.3;0008-400X;1879-2669
Canadian Journal of Experimental Psychology;1.1;1196-1961;1878-7290
Canadian Psychology;2.9;0708-5591;1878-7304
Clinical Practice in Pediatric Psychology;1.2;2169-4826;2169-4834
Clinical Psychology: Science and Practice;4.7;;
Consulting Psychology Journal;0.9;;
Couple and Family Psychology: Research and Practice;1.9;;
Cultural Diversity & Ethnic Minority Psychology;3.2;;
Decision;1;;
Developmental Psychology;3.1;;
Dreaming;0.8;;
Emotion;3.4;;
Evolutionary Behavioral Sciences;1.1;;
Experimental and Clinical Psychopharmacology;2.4;;
Families, Systems, & Health;1.2;;
Group Dynamics: Theory, Research, and Practice;1.8;;
Health Psychology;3.1;;
History of Psychology;1.1;;
International Journal of Stress Management;2.1;;
Journal of Applied Psychology;9.4;0021-9010;1939-1854
Journal of Applied Research in Memory and Cognition;2.8;;
Journal of Comparative Psychology;1.1;;
Journal of Consulting and Clinical Psychology;4.5;;
Journal of Counseling Psychology;3.8;;
Journal of Diversity in Higher Education;2.5;;
Journal of Educational Psychology;5.6;0022-0663;1939-2176
Journal of Experimental Psychology: Animal Learning and Cognition;1.2;;
Journal of Experimental Psychology: Applied;2.7;1076-898X;1939-2192
Journal of Experimental Psychology: General;3.7;0096-3445;1939-2222
Journal of Experimental Psychology: Human Perception and Performance;2.1;;
Journal of Experimental Psychology: Learning, Memory, and Cognition;2.2;;
Journal of Family Psychology;2.3;;
Journal of Latinx Psychology;2.1;;
Psychology of Leaders and Leadership;0.6;2769-6863;2769-6898
Journal of Neuroscience, Psychology, and Economics;1.6;;
Journal of Occupational Health Psychology;5.9;;
Journal of Personality and Social Psychology;6.4;;
Journal of Psychopathology and Clinical Science;3.1;;
Journal of Psychotherapy Integration;1.8;;
Journal of Theoretical and Philosophical Psychology;1;;
Law and Human Behavior;2.4;;
Motivation Science;3;;
Neuropsychology;2.6;;
Peace and Conflict: Journal of Peace Psychology;0.9;;
Personality Disorders: Theory, Research, and Treatment;3;;
Professional Psychology: Research and Practice;1.5;;
Psychiatric Rehabilitation Journal;1.8;;
Psychoanalytic Psychology;1;;
Psychological Assessment;3.3;;
Psychological Bulletin;17.3;0033-2909;1939-1455
Psychological Methods;7.6;1082-989X;1939-1463
Psychological Review;5.1;0033-295X;1939-1471
Psychological Services;1.9;;
Psychological Trauma: Theory, Research, Practice, and Policy;2.7;;
Psychology and Aging;3.7;;
Psychology of Addictive Behaviors;3.2;;
Psychology of Aesthetics, Creativity, and the Arts;2.7;;
Psychology of Consciousness: Theory, Research, and Practice;1.4;;
Psychology of Men & Masculinities;2.7;;
Psychology of Popular Media;2.1;;
Psychology of Religion and Spirituality;2.2;;
Psychology of Sexual Orientation